,User_name,Mention_name,Type
195,ThePCMG,ThePCMG,Tweet
196,britishtaxicy,britishtaxicy,Tweet
197,rebellierensoul,SeasonCarHire,Tweet
198,Tw1tterCarClub,GazTankMotors,RT
199,autocarmove,autocarmove,Tweet
200,Bhargav26858335,Beetech_in,RT
201,bmw_southatl,bmw_southatl,Tweet
202,SouthBayLex,SouthBayLex,Tweet
203,hotcars1447,hotcars1447,Tweet
204,EZ_Auto,EZ_Auto,Tweet
205,Lemonade_Ninja,washninja,Tweet
206,AlphaSQUAD_1,AlphaSQUAD_1,Tweet
207,911_Mag,911_Mag,Tweet
208,parklaneukltd,parklaneukltd,Tweet
209,McLarenHouston,LuxciorMagazine,RT
210,NYTravelLimo,NYTravelLimo,Tweet
211,Media_SJH,Media_SJH,Tweet
212,Astorg_Auto,Astorg_Auto,Tweet
213,carsluxrs,488,Tweet
214,ECDautodesign,ECDautodesign,Tweet
215,michaels_autos,michaels_autos,Tweet
216,iamSharathNair,AudiIN,Tweet
217,ECDautodesign,ECDautodesign,Tweet
218,SarahSheltonInk,cgtnamerica,Tweet
219,Claumi8675,Claumi8675,Tweet
220,kpamelav,kpamelav,Tweet
221,Surreal_CARS,Surreal_CARS,Tweet
222,autopartlinker,autopartlinker,Tweet
223,carsluxrs,carsluxrs,Tweet
224,LuxMotorPress,LuxMotorPress,Tweet
225,bella_mkay,bella_mkay,Tweet
226,__bdub,BillionsPortal,RT
227,TheBestInLuxury,TheBestInLuxury,Tweet
228,NYTravelLimo,NYTravelLimo,Tweet
229,RacerMecahinc,RacerMecahinc,Tweet
230,hotcars1447,hotcars1447,Tweet
231,2tallRob,barbster360,RT
232,club29,ExplorationsUn1,RT
233,RajkamalOO7,Luqzone,Tweet
234,gscaltexindia,gscaltexindia,Tweet
235,AnthonyLeach256,AnthonyLeach256,Tweet
236,DougJamieson5,LegendPorsche,RT
237,autocarmove,autocarmove,Tweet
238,Reg_Spotter,Reg_Spotter,Tweet
239,LuxuryCarLondon,LuxuryCarLondon,Tweet
240,GordonMercedes9,GazTankMotors,RT
241,topspeed,topspeed,Tweet
242,ada_paul23,ada_paul23,Tweet
243,carsluxrs,Topazdetailing,Tweet
244,InvestCorpgh,InvestCorpgh,Tweet
245,GBVehicleLease,GBVehicleLease,Tweet
246,Beatpluz,Beatpluz,Tweet
247,carsluxrs,carsluxrs,Tweet
248,VonHousenGroup,VonHousenGroup,Tweet
249,sportsjim,sportsjim,Tweet
250,rebellierensoul,SeasonCarHire,Tweet
251,Futurist_Invest,Futurist_Invest,RT
252,ada_paul23,ada_paul23,Tweet
253,DriverMilano,DriverMilano,Tweet
254,Businesslives,Businesslives,Tweet
255,Graypaul_Eburgh,Graypaul_Eburgh,Tweet
256,GetReviewedByUs,GetReviewedByUs,Tweet
257,BikeKerala,BikeKerala,Tweet
258,MikeGarcia80,MikeGarcia80,Tweet
259,ThePCMG,ThePCMG,Tweet
260,thedumpiewonder,JeremyClarkson,Tweet
261,FixingAuto,FixingAuto,Tweet
262,winged_boots,winged_boots,Tweet
263,GazTankMotors,GazTankMotors,Tweet
264,ChekiKenya,ChekiKenya,Tweet
265,ukpiano,ukpiano,Tweet
266,IconicCarColl,IconicCarColl,Tweet
267,autopartlinker,autopartlinker,Tweet
268,PicklesAuctions,PicklesAuctions,Tweet
269,BreadZe,elevenbrian,RT
270,ThePCMG,ThePCMG,Tweet
271,JiddSam,AMTvehiclegroup,RT
272,eagleautosng,eagleautosng,Tweet
273,LexusofLasVegas,LexusofLasVegas,Tweet
274,vintz_shop,vintz_shop,Tweet
275,autocarmove,autocarmove,Tweet
276,UKCarLease,contractcars,RT
277,Kauan0liveira,LegendPorsche,RT
278,LuxMotorPress,LuxMotorPress,Tweet
279,PepePfeffer,LegendPorsche,RT
280,IsaBell222333,Bentley_Bham,RT
281,BMWCrystalLake,BMWCrystalLake,Tweet
282,autopartlinker,autopartlinker,Tweet
283,Autos_of_dallas,Autos_of_dallas,Tweet
284,Kauan0liveira,LegendPorsche,RT
285,LUXURYSPORTAUT0,LUXURYSPORTAUT0,Tweet
286,Surreal_CARS,Surreal_CARS,Tweet
287,Rickjr2448883,Rushmores_Cars,RT
288,Fwelsh2688,Fwelsh2688,Tweet
289,Rushmores_Cars,Rushmores_Cars,Tweet
290,streetsupercars,streetsupercars,Tweet
291,shameelabdulla,clootrack,RT
292,autocarmove,contractcars,RT
293,premiumfoxbrand,TarikPrice,RT
294,RTHyderabad,pennewstweet,RT
295,autopartlinker,autopartlinker,Tweet
296,myfobbu,myfobbu,Tweet
297,carlodotin,carlodotin,Tweet
298,LuxMotorPress,LuxMotorPress,Tweet
299,DocSaben,Futurist_Invest,RT
300,SupercarsGarage,SupercarsGarage,Tweet
301,Surreal_CARS,Surreal_CARS,Tweet
302,_Jaleeljaleel,WereBillionaire,RT
303,LiveryVip,LiveryVip,Tweet
304,iHodl_com_en,iHodl_com_en,Tweet
305,LRThornhill,LRThornhill,Tweet
306,dhrep,Futurist_Invest,RT
307,_d_a_n_i_e_l__b,_d_a_n_i_e_l__b,Tweet
308,autopartlinker,autopartlinker,Tweet
309,ada_paul23,ada_paul23,Tweet
310,DCamaro88,LuxMotorPress,RT
311,contractcars,contractcars,Tweet
312,GetReviewedByUs,GetReviewedByUs,Tweet
313,coryasinclair,washninja,Tweet
314,TitaniumHire,TitaniumHire,Tweet
315,rttconcierge,rttconcierge,Tweet
316,autocarmove,CarVisionAuto,RT
317,LuxuryDistricts,LuxuryDistricts,Tweet
318,WestchestercarL,WestchestercarL,Tweet
319,IndividualSC,IndividualSC,Tweet
320,diablowheelsusa,LionhartTires,Tweet
321,AmeerLuqman15,carsluxrs,RT
322,Rickjr2448883,Rushmores_Cars,RT
323,ECDautodesign,ECDautodesign,Tweet
324,autopartlinker,autopartlinker,Tweet
325,XavierQuelal,DriversEcuador,RT
326,skylizers,skylizers,Tweet
327,911_Mag,911_Mag,Tweet
328,Reina_Riccardo,Reina_Riccardo,Tweet
329,Reg_Spotter,Reg_Spotter,Tweet
330,caautoparts,caautoparts,Tweet
331,lawalmuhammad1,_alonethoughts_,Tweet
332,IconicCarColl,IconicCarColl,Tweet
333,carlodotin,carlodotin,Tweet
334,carsluxrs,carsluxrs,Tweet
335,MaseratiOKC,MaseratiOKC,Tweet
336,Bentley_Bham,Bentley_Bham,Tweet
337,greenfriend_ly,washninja,Tweet
338,Just4Dream83,Just4Dream83,Tweet
339,GazTankMotors,GazTankMotors,Tweet
340,AriaThornton10,jbrcapital,RT
341,autopartlinker,autopartlinker,Tweet
342,autopartlinker,autopartlinker,Tweet
343,EmojiAutoSales,EmojiAutoSales,Tweet
344,LexusofLasVegas,LexusofLasVegas,Tweet
345,autopartlinker,autopartlinker,Tweet
346,UAEClassicCars,UAEClassicCars,Tweet
347,BahamasTourist2,SimonsTransport,RT
348,autopartlinker,autopartlinker,Tweet
349,_d_a_n_i_e_l__b,_d_a_n_i_e_l__b,Tweet
350,ZaveriVaishali,ZaveriVaishali,Tweet
351,MehmetO33440789,911_Mag,RT
352,carsluxrs,carsluxrs,Tweet
353,debbie_beale,jbrcapital,RT
354,INFINITItucson,INFINITItucson,Tweet
355,douber__,_alonethoughts_,Tweet
356,aguilar_schulz,LegendPorsche,RT
357,zapautoexport,zapautoexport,Tweet
358,bbazzracing,bbazzracing,Tweet
359,autocarmove,autocarmove,Tweet
360,hotcars1447,hotcars1447,Tweet
361,jbrcapital,jbrcapital,Tweet
362,Vignali123,Graypaul_Eburgh,RT
363,JCT600,JCT600,Tweet
364,Surreal_CARS,Surreal_CARS,Tweet
365,gracieopulanza,Ferrari,Tweet
366,TitaniumHire,TitaniumHire,Tweet
367,caldelari911,911_Mag,RT
368,autopartlinker,autopartlinker,Tweet
369,skylizers,skylizers,Tweet
370,autocarmove,autocarmove,Tweet
371,CountryCar1,CountryCar1,Tweet
372,dan_brummitt,_d_a_n_i_e_l__b,RT
373,autocarmove,autopartlinker,RT
374,RenWoodbridge,EmpireLimo,RT
375,LndRoverOrlando,LndRoverOrlando,Tweet
376,GetReviewedByUs,GetReviewedByUs,Tweet
377,SMSsupply,LUXURYSPORTAUT0,RT
378,BreadZe,SupercarsGarage,RT
379,GetReviewedByUs,GetReviewedByUs,Tweet
380,LRThornhill,LRThornhill,Tweet
381,autopartlinker,autopartlinker,Tweet
382,BikeKerala,BikeKerala,Tweet
383,caldelari911,911_Mag,RT
384,premiumfoxbrand,TarikPrice,RT
385,BreadZe,LuxMotorPress,RT
386,XavierQuelal,DriversEcuador,RT
387,autocarmove,autocarmove,RT
388,mahmad4457,GuySalmonJLR,Tweet
389,RoadAtlantic,RoadAtlantic,Tweet
390,ArturCasaca,ArturCasaca,Tweet
391,911_Mag,911_Mag,Tweet
392,Investendonline,cryptoandforex_,RT
393,SMSsupply,LUXURYSPORTAUT0,RT
394,ada_paul23,ada_paul23,Tweet
395,TarikPrice,TarikPrice,Tweet
396,QuinAutoSA,QuinAutoSA,Tweet
397,SmartTrails,travelimousines,RT
398,flyjetedge,flyjetedge,Tweet
399,iamkingcosta,PPFilmLocations,RT
400,LexusofLasVegas,LexusofLasVegas,Tweet
401,MercedesBenzAsh,MercedesBenzAsh,Tweet
402,flyjetedge,flyjetedge,Tweet
403,Reg_Spotter,Reg_Spotter,Tweet
404,zapautoexport,zapautoexport,Tweet
405,SelectAutoImpts,SelectAutoImpts,Tweet
406,evantantuco,evantantuco,Tweet
407,buzzufy,menshealth,Tweet
